time,signal,rx bitrate, tx bitrate,mcs_number_rx,mcs_number_tx,bandwidth_tx,bandwidth_rx,connections
122.717424597,-46dBm,130.0_MBit/s_MCS_14_short_GI___,144.4_MBit/s_MCS_15_short_GI___,14,15,144.4,130,64
134.994652195,-44dBm,130.0_MBit/s_MCS_14_short_GI___,144.4_MBit/s_MCS_15_short_GI___,14,15,144.4,130,64
134.996214477,-44dBm,115.6_MBit/s_MCS_13_short_GI___,144.4_MBit/s_MCS_15_short_GI___,13,15,144.4,115.6,64
144.842914581,-43dBm,130.0_MBit/s_MCS_14_short_GI___,144.4_MBit/s_MCS_15_short_GI___,14,15,144.4,130,64
149.023928059,-32dBm,57.8_MBit/s_MCS_11_short_GI___,144.4_MBit/s_MCS_15_short_GI___,11,15,144.4,57.8,64
0,-45dBm,65.0_MBit/s_MCS_7_____,144.4_MBit/s_MCS_15_short_GI___,7,15,144.4,65,2
0.047474008,-46dBm,65.0_MBit/s_MCS_7_____,144.4_MBit/s_MCS_15_short_GI___,7,15,144.4,65,2
0.064167471,-48dBm,65.0_MBit/s_MCS_7_____,144.4_MBit/s_MCS_15_short_GI___,7,15,144.4,65,2
0.07264288,-49dBm,65.0_MBit/s_MCS_7_____,144.4_MBit/s_MCS_15_short_GI___,7,15,144.4,65,2
0.094982255,-44dBm,65.0_MBit/s_MCS_7_____,144.4_MBit/s_MCS_15_short_GI___,7,15,144.4,65,2
0.104563903,-51dBm,65.0_MBit/s_MCS_7_____,144.4_MBit/s_MCS_15_short_GI___,7,15,144.4,65,2
0.108423571,-39dBm,65.0_MBit/s_MCS_7_____,144.4_MBit/s_MCS_15_short_GI___,7,15,144.4,65,2
0.128930706,-43dBm,65.0_MBit/s_MCS_7_____,144.4_MBit/s_MCS_15_short_GI___,7,15,144.4,65,2
0.13292412,-40dBm,65.0_MBit/s_MCS_7_____,144.4_MBit/s_MCS_15_short_GI___,7,15,144.4,65,2
0.178018278,-35dBm,65.0_MBit/s_MCS_7_____,144.4_MBit/s_MCS_15_short_GI___,7,15,144.4,65,2
0.203066418,-36dBm,65.0_MBit/s_MCS_7_____,144.4_MBit/s_MCS_15_short_GI___,7,15,144.4,65,2
0.28132686,-37dBm,65.0_MBit/s_MCS_7_____,144.4_MBit/s_MCS_15_short_GI___,7,15,144.4,65,2
0.523354309,-36dBm,58.5_MBit/s_MCS_6_____,144.4_MBit/s_MCS_15_short_GI___,6,15,144.4,58.5,2
0.607008723,-35dBm,78.0_MBit/s_MCS_12_____,144.4_MBit/s_MCS_15_short_GI___,12,15,144.4,78,2
0.611096546,-34dBm,78.0_MBit/s_MCS_12_____,144.4_MBit/s_MCS_15_short_GI___,12,15,144.4,78,2
0.616339066,-36dBm,104.0_MBit/s_MCS_13_____,144.4_MBit/s_MCS_15_short_GI___,13,15,144.4,104,2
0.623460119,-36dBm,78.0_MBit/s_MCS_12_____,144.4_MBit/s_MCS_15_short_GI___,12,15,144.4,78,2
0.632346012,-36dBm,86.7_MBit/s_MCS_12_short_GI___,144.4_MBit/s_MCS_15_short_GI___,12,15,144.4,86.7,2
0.655134553,-35dBm,115.6_MBit/s_MCS_13_short_GI___,144.4_MBit/s_MCS_15_short_GI___,13,15,144.4,115.6,2
0.658663734,-35dBm,130.0_MBit/s_MCS_14_short_GI___,144.4_MBit/s_MCS_15_short_GI___,14,15,144.4,130,2
0.680653698,-37dBm,144.4_MBit/s_MCS_15_short_GI___,144.4_MBit/s_MCS_15_short_GI___,15,15,144.4,144.4,2
0.702361811,-38dBm,144.4_MBit/s_MCS_15_short_GI___,144.4_MBit/s_MCS_15_short_GI___,15,15,144.4,144.4,2
0.711328918,-41dBm,144.4_MBit/s_MCS_15_short_GI___,144.4_MBit/s_MCS_15_short_GI___,15,15,144.4,144.4,2
0.727276975,-47dBm,130.0_MBit/s_MCS_14_short_GI___,144.4_MBit/s_MCS_15_short_GI___,14,15,144.4,130,2
0.783038847,-37dBm,130.0_MBit/s_MCS_14_short_GI___,144.4_MBit/s_MCS_15_short_GI___,14,15,144.4,130,2
0.786496689,-36dBm,130.0_MBit/s_MCS_14_short_GI___,144.4_MBit/s_MCS_15_short_GI___,14,15,144.4,130,2
0.854531674,-36dBm,144.4_MBit/s_MCS_15_short_GI___,144.4_MBit/s_MCS_15_short_GI___,15,15,144.4,144.4,2
0.926374362,-36dBm,115.6_MBit/s_MCS_13_short_GI___,144.4_MBit/s_MCS_15_short_GI___,13,15,144.4,115.6,2
